127.0.0.1 - - [14/Sep/2024:14:55:06 +0600] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:55:16 +0600] "GET /shopping-cart/ HTTP/1.1" 200 32859
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:55:16 +0600] "GET /shopping-cart/css/changes.css HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:55:19 +0600] "GET /shopping-cart/ShowImage?pid=P20230423083830 HTTP/1.1" 200 21798
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:55:19 +0600] "GET /shopping-cart/ShowImage?pid=P20230423082243 HTTP/1.1" 200 96902
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:55:19 +0600] "GET /shopping-cart/ShowImage?pid=P20230423084143 HTTP/1.1" 200 21915
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:55:19 +0600] "GET /shopping-cart/ShowImage?pid=P20230423084144 HTTP/1.1" 200 20420
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:55:19 +0600] "GET /shopping-cart/ShowImage?pid=P20230423084145 HTTP/1.1" 200 19444
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:55:19 +0600] "GET /shopping-cart/ShowImage?pid=P20230423084146 HTTP/1.1" 200 30013
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:55:19 +0600] "GET /shopping-cart/ShowImage?pid=P20230423084147 HTTP/1.1" 200 8013
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:55:19 +0600] "GET /shopping-cart/ShowImage?pid=P20230423084152 HTTP/1.1" 200 34752
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:55:19 +0600] "GET /shopping-cart/ShowImage?pid=P20230423084149 HTTP/1.1" 200 65614
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:55:19 +0600] "GET /shopping-cart/ShowImage?pid=P20230423084148 HTTP/1.1" 200 31791
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:55:19 +0600] "GET /shopping-cart/ShowImage?pid=P20230423084154 HTTP/1.1" 200 48989
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:55:19 +0600] "GET /shopping-cart/ShowImage?pid=P20230423084153 HTTP/1.1" 200 48613
